sample_id,data_path,Production_Quality,Production_Complexity,Content_Enjoyment,Content_Usefulness
audiomos2025-track2-audio-unbalanced_train_segments_audio_0nPtStqMn3Q_30000_40000,/your_path/unbalanced_train_segments/audio/0nPtStqMn3Q_30000_40000.flac,5.3,3.7,3.3,3.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_0nlJ6Juv4k0_0_10000,/your_path/unbalanced_train_segments/audio/0nlJ6Juv4k0_0_10000.flac,7.5,2.6,3.9,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_0suFvKAWJnU_10000_20000,/your_path/unbalanced_train_segments/audio/0suFvKAWJnU_10000_20000.flac,4.8,2.7,3.2,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_0uut3zH-huU_80000_90000,/your_path/unbalanced_train_segments/audio/0uut3zH-huU_80000_90000.flac,6.0,3.0,4.6,6.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_0xNNoqqgpWo_50000_60000,/your_path/unbalanced_train_segments/audio/0xNNoqqgpWo_50000_60000.flac,5.9,3.1,6.2,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_1-ZWlCfVWf4_10000_20000,/your_path/unbalanced_train_segments/audio/1-ZWlCfVWf4_10000_20000.flac,4.5,2.9,2.7,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_1-sQPD9cu-I_0_10000,/your_path/unbalanced_train_segments/audio/1-sQPD9cu-I_0_10000.flac,6.8,4.7,7.2,7.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_12qdU3I31IQ_30000_40000,/your_path/unbalanced_train_segments/audio/12qdU3I31IQ_30000_40000.flac,4.9,3.9,3.3,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_14vSQLtDAt8_0_10000,/your_path/unbalanced_train_segments/audio/14vSQLtDAt8_0_10000.flac,6.7,2.6,3.8,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_1HXAx0otCVg_30000_40000,/your_path/unbalanced_train_segments/audio/1HXAx0otCVg_30000_40000.flac,5.2,4.0,3.9,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_1MN-52YeA0g_350000_360000,/your_path/unbalanced_train_segments/audio/1MN-52YeA0g_350000_360000.flac,6.6,1.6,3.2,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_1NIe01TaGAU_30000_40000,/your_path/unbalanced_train_segments/audio/1NIe01TaGAU_30000_40000.flac,4.8,2.8,2.8,3.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_1P5WxaIWbSA_40000_50000,/your_path/unbalanced_train_segments/audio/1P5WxaIWbSA_40000_50000.flac,6.5,3.9,5.4,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_1UUhMZAgU_c_0_10000,/your_path/unbalanced_train_segments/audio/1UUhMZAgU_c_0_10000.flac,6.1,3.5,3.1,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_1WH-6LOjq1M_30000_40000,/your_path/unbalanced_train_segments/audio/1WH-6LOjq1M_30000_40000.flac,4.2,2.7,2.7,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_1X18fpwgBxk_0_10000,/your_path/unbalanced_train_segments/audio/1X18fpwgBxk_0_10000.flac,4.6,2.9,3.0,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_1dfiAzgvtRA_160000_170000,/your_path/unbalanced_train_segments/audio/1dfiAzgvtRA_160000_170000.flac,6.2,3.9,2.2,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_1fN_cccYjC4_140000_150000,/your_path/unbalanced_train_segments/audio/1fN_cccYjC4_140000_150000.flac,4.4,2.5,1.9,2.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_1oKnfp2uny8_0_10000,/your_path/unbalanced_train_segments/audio/1oKnfp2uny8_0_10000.flac,3.4,2.4,2.4,3.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_1oZ6_eGLPx0_20000_30000,/your_path/unbalanced_train_segments/audio/1oZ6_eGLPx0_20000_30000.flac,6.6,2.3,6.6,6.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_1q5n6A2PYGo_30000_40000,/your_path/unbalanced_train_segments/audio/1q5n6A2PYGo_30000_40000.flac,5.6,3.3,3.0,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_1wRFObGWCPI_30000_40000,/your_path/unbalanced_train_segments/audio/1wRFObGWCPI_30000_40000.flac,6.4,3.9,6.7,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_21BlW-li2Q4_40000_50000,/your_path/unbalanced_train_segments/audio/21BlW-li2Q4_40000_50000.flac,3.7,2.9,1.8,2.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_27ZSldfo0fg_60000_70000,/your_path/unbalanced_train_segments/audio/27ZSldfo0fg_60000_70000.flac,4.7,3.8,3.1,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_28yOe99TRjE_30000_40000,/your_path/unbalanced_train_segments/audio/28yOe99TRjE_30000_40000.flac,4.0,3.4,2.5,3.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_29q4J8YktTM_30000_40000,/your_path/unbalanced_train_segments/audio/29q4J8YktTM_30000_40000.flac,7.2,3.3,3.6,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_2ErbvVnLS3Q_0_10000,/your_path/unbalanced_train_segments/audio/2ErbvVnLS3Q_0_10000.flac,5.5,5.7,3.8,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_2I-1H1dyWCw_490000_500000,/your_path/unbalanced_train_segments/audio/2I-1H1dyWCw_490000_500000.flac,4.5,4.9,1.7,2.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_2IuPDFlfM3Y_0_10000,/your_path/unbalanced_train_segments/audio/2IuPDFlfM3Y_0_10000.flac,6.7,4.6,3.2,6.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_2Lej8aE00uw_0_10000,/your_path/unbalanced_train_segments/audio/2Lej8aE00uw_0_10000.flac,6.1,5.4,3.5,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_2Pg8S4JDMJA_20000_30000,/your_path/unbalanced_train_segments/audio/2Pg8S4JDMJA_20000_30000.flac,7.0,2.5,2.7,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_2RyuYS3TWF4_20000_30000,/your_path/unbalanced_train_segments/audio/2RyuYS3TWF4_20000_30000.flac,4.9,4.4,3.4,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_2WHDc9gYeA0_320000_330000,/your_path/unbalanced_train_segments/audio/2WHDc9gYeA0_320000_330000.flac,6.1,3.9,3.3,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_2WPSXzGWr3A_70000_80000,/your_path/unbalanced_train_segments/audio/2WPSXzGWr3A_70000_80000.flac,5.4,3.0,1.7,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_2YKi01udnOk_70000_80000,/your_path/unbalanced_train_segments/audio/2YKi01udnOk_70000_80000.flac,5.3,3.6,4.8,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_2Yjj4wenxt8_30000_40000,/your_path/unbalanced_train_segments/audio/2Yjj4wenxt8_30000_40000.flac,2.8,2.4,1.4,2.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_2ZfMQYF-LZw_190000_200000,/your_path/unbalanced_train_segments/audio/2ZfMQYF-LZw_190000_200000.flac,7.2,2.5,5.1,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_2bRuZb4ZUko_30000_40000,/your_path/unbalanced_train_segments/audio/2bRuZb4ZUko_30000_40000.flac,4.3,4.4,2.3,3.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_2dbJWlG6H-c_30000_40000,/your_path/unbalanced_train_segments/audio/2dbJWlG6H-c_30000_40000.flac,4.5,3.3,3.4,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_2iXecgwaxi8_10000_20000,/your_path/unbalanced_train_segments/audio/2iXecgwaxi8_10000_20000.flac,6.3,2.6,3.5,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_2mPkMn8Ql9M_30000_40000,/your_path/unbalanced_train_segments/audio/2mPkMn8Ql9M_30000_40000.flac,6.6,3.7,2.6,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_2owALLtufBk_150000_160000,/your_path/unbalanced_train_segments/audio/2owALLtufBk_150000_160000.flac,5.8,4.9,3.8,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_2qgwD_sSNdk_30000_40000,/your_path/unbalanced_train_segments/audio/2qgwD_sSNdk_30000_40000.flac,6.8,3.6,3.5,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_2rdcYD8LHGA_180000_190000,/your_path/unbalanced_train_segments/audio/2rdcYD8LHGA_180000_190000.flac,6.2,3.7,5.6,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_2tTIdgl5rlI_400000_410000,/your_path/unbalanced_train_segments/audio/2tTIdgl5rlI_400000_410000.flac,6.6,4.1,3.2,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_37Ax_9ALfCI_30000_40000,/your_path/unbalanced_train_segments/audio/37Ax_9ALfCI_30000_40000.flac,5.7,3.0,2.9,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_37ptKno8Ako_30000_40000,/your_path/unbalanced_train_segments/audio/37ptKno8Ako_30000_40000.flac,4.3,2.8,2.2,3.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_38A-R5inrZs_30000_40000,/your_path/unbalanced_train_segments/audio/38A-R5inrZs_30000_40000.flac,7.3,4.2,4.4,6.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_3BvNHVe4g-Q_10000_20000,/your_path/unbalanced_train_segments/audio/3BvNHVe4g-Q_10000_20000.flac,3.8,3.9,2.6,3.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_3ByWg8URWAw_40000_50000,/your_path/unbalanced_train_segments/audio/3ByWg8URWAw_40000_50000.flac,5.6,3.7,3.4,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_3F09PXqCRfs_0_10000,/your_path/unbalanced_train_segments/audio/3F09PXqCRfs_0_10000.flac,5.2,4.1,3.2,3.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_3GSSNmfm_2U_30000_40000,/your_path/unbalanced_train_segments/audio/3GSSNmfm_2U_30000_40000.flac,4.3,2.4,1.8,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_3I1caAtHQ2A_30000_40000,/your_path/unbalanced_train_segments/audio/3I1caAtHQ2A_30000_40000.flac,6.2,3.1,4.5,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_3PVSh7dth8Q_90000_100000,/your_path/unbalanced_train_segments/audio/3PVSh7dth8Q_90000_100000.flac,4.9,2.7,3.2,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_3SFet_JSgfY_400000_410000,/your_path/unbalanced_train_segments/audio/3SFet_JSgfY_400000_410000.flac,5.3,2.7,3.7,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_3ULscVAPW0A_30000_40000,/your_path/unbalanced_train_segments/audio/3ULscVAPW0A_30000_40000.flac,4.1,2.9,1.8,3.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_3Y5XYAlo4ME_0_10000,/your_path/unbalanced_train_segments/audio/3Y5XYAlo4ME_0_10000.flac,6.5,2.8,4.5,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_3Yrp7vEdFrI_350000_360000,/your_path/unbalanced_train_segments/audio/3Yrp7vEdFrI_350000_360000.flac,5.7,5.0,3.9,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_3adWpJg_Ct0_50000_60000,/your_path/unbalanced_train_segments/audio/3adWpJg_Ct0_50000_60000.flac,5.8,3.4,3.1,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_3fkmPm_PSgY_30000_40000,/your_path/unbalanced_train_segments/audio/3fkmPm_PSgY_30000_40000.flac,4.1,3.1,2.7,3.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_3izY1Z4wbzY_50000_60000,/your_path/unbalanced_train_segments/audio/3izY1Z4wbzY_50000_60000.flac,5.4,4.5,4.4,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_3n7xVwjWWD0_120000_130000,/your_path/unbalanced_train_segments/audio/3n7xVwjWWD0_120000_130000.flac,6.7,3.4,4.4,6.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_3sVWGc8Z7F4_30000_40000,/your_path/unbalanced_train_segments/audio/3sVWGc8Z7F4_30000_40000.flac,6.9,4.1,3.8,7.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_3vPJfNmVHrE_150000_160000,/your_path/unbalanced_train_segments/audio/3vPJfNmVHrE_150000_160000.flac,5.9,4.1,3.9,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_3y4vxtD3VR0_30000_40000,/your_path/unbalanced_train_segments/audio/3y4vxtD3VR0_30000_40000.flac,5.2,2.8,3.2,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_3yRGmsrKkQU_230000_240000,/your_path/unbalanced_train_segments/audio/3yRGmsrKkQU_230000_240000.flac,5.5,4.6,3.6,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_3yaZc1lj7bc_30000_40000,/your_path/unbalanced_train_segments/audio/3yaZc1lj7bc_30000_40000.flac,5.2,2.4,2.2,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_43tPc0pM2jA_20000_30000,/your_path/unbalanced_train_segments/audio/43tPc0pM2jA_20000_30000.flac,4.6,4.8,3.7,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_460UBhFmlBI_30000_40000,/your_path/unbalanced_train_segments/audio/460UBhFmlBI_30000_40000.flac,6.4,2.7,3.0,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_4ACYRvMLdqs_30000_40000,/your_path/unbalanced_train_segments/audio/4ACYRvMLdqs_30000_40000.flac,6.2,3.7,3.8,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_4EBXEWinADc_100000_110000,/your_path/unbalanced_train_segments/audio/4EBXEWinADc_100000_110000.flac,7.2,4.6,4.6,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_4LsRYvvZFAk_30000_40000,/your_path/unbalanced_train_segments/audio/4LsRYvvZFAk_30000_40000.flac,6.1,3.9,6.1,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_4RDIBKydI0E_30000_40000,/your_path/unbalanced_train_segments/audio/4RDIBKydI0E_30000_40000.flac,5.1,2.9,2.8,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_4RGIsyMfTRU_0_10000,/your_path/unbalanced_train_segments/audio/4RGIsyMfTRU_0_10000.flac,3.9,3.7,2.4,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_4XVbKVMgT0E_30000_40000,/your_path/unbalanced_train_segments/audio/4XVbKVMgT0E_30000_40000.flac,4.2,1.8,1.5,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_4XVf7B8QSwA_30000_40000,/your_path/unbalanced_train_segments/audio/4XVf7B8QSwA_30000_40000.flac,6.2,2.7,3.6,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_4joZZL17RUM_190000_200000,/your_path/unbalanced_train_segments/audio/4joZZL17RUM_190000_200000.flac,6.7,4.1,4.0,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_4phfGO0ps8M_30000_40000,/your_path/unbalanced_train_segments/audio/4phfGO0ps8M_30000_40000.flac,5.3,3.2,3.4,5.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_4tFotISNmGY_110000_120000,/your_path/unbalanced_train_segments/audio/4tFotISNmGY_110000_120000.flac,5.4,2.7,2.6,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_4v7vm2XKqfI_410000_420000,/your_path/unbalanced_train_segments/audio/4v7vm2XKqfI_410000_420000.flac,4.2,2.5,2.7,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_4z2Wtq4-1KA_0_10000,/your_path/unbalanced_train_segments/audio/4z2Wtq4-1KA_0_10000.flac,5.8,4.3,3.0,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_4zumLdexwV4_90000_100000,/your_path/unbalanced_train_segments/audio/4zumLdexwV4_90000_100000.flac,5.2,3.8,3.8,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_4zwPSYI8uvQ_10000_20000,/your_path/unbalanced_train_segments/audio/4zwPSYI8uvQ_10000_20000.flac,7.0,2.9,4.1,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_5DQ2FaKVTPU_0_10000,/your_path/unbalanced_train_segments/audio/5DQ2FaKVTPU_0_10000.flac,4.9,3.6,3.4,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_5DkmUEjwqMg_170000_180000,/your_path/unbalanced_train_segments/audio/5DkmUEjwqMg_170000_180000.flac,6.4,2.9,4.1,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_5FdTDVqH-9U_10000_20000,/your_path/unbalanced_train_segments/audio/5FdTDVqH-9U_10000_20000.flac,5.7,3.6,3.4,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_5G-0Rma9gJU_50000_60000,/your_path/unbalanced_train_segments/audio/5G-0Rma9gJU_50000_60000.flac,5.1,3.3,3.2,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_5MsQJHLoDpU_0_10000,/your_path/unbalanced_train_segments/audio/5MsQJHLoDpU_0_10000.flac,6.4,4.3,3.9,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_5O-g0rxCi4I_80000_90000,/your_path/unbalanced_train_segments/audio/5O-g0rxCi4I_80000_90000.flac,7.6,4.4,7.1,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_5QEU-GPaXuA_10000_20000,/your_path/unbalanced_train_segments/audio/5QEU-GPaXuA_10000_20000.flac,5.6,4.6,3.7,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_5QV_dj-r_S8_210000_220000,/your_path/unbalanced_train_segments/audio/5QV_dj-r_S8_210000_220000.flac,7.3,2.6,4.8,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_5TlwzlyZb8M_30000_40000,/your_path/unbalanced_train_segments/audio/5TlwzlyZb8M_30000_40000.flac,6.1,2.9,3.4,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_5d4R2aTihXQ_30000_40000,/your_path/unbalanced_train_segments/audio/5d4R2aTihXQ_30000_40000.flac,6.2,6.0,4.3,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_5d8w6LdvhKQ_30000_40000,/your_path/unbalanced_train_segments/audio/5d8w6LdvhKQ_30000_40000.flac,5.0,2.5,2.0,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_5dLTYrdoF90_30000_40000,/your_path/unbalanced_train_segments/audio/5dLTYrdoF90_30000_40000.flac,4.1,4.3,2.7,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_5gYPXK-PDKw_180000_190000,/your_path/unbalanced_train_segments/audio/5gYPXK-PDKw_180000_190000.flac,6.2,4.8,3.9,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_5iqK9HsELZA_30000_40000,/your_path/unbalanced_train_segments/audio/5iqK9HsELZA_30000_40000.flac,5.6,2.7,2.5,5.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_5iuQN2KRg1c_30000_40000,/your_path/unbalanced_train_segments/audio/5iuQN2KRg1c_30000_40000.flac,7.2,2.7,3.6,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_5pkzmSWbBbY_20000_30000,/your_path/unbalanced_train_segments/audio/5pkzmSWbBbY_20000_30000.flac,5.5,3.2,3.2,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_5qwcsHo8bPs_30000_40000,/your_path/unbalanced_train_segments/audio/5qwcsHo8bPs_30000_40000.flac,6.9,3.8,3.7,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_5vUtusnPXXs_120000_130000,/your_path/unbalanced_train_segments/audio/5vUtusnPXXs_120000_130000.flac,6.3,3.6,6.6,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_62X3nI354Qc_10000_20000,/your_path/unbalanced_train_segments/audio/62X3nI354Qc_10000_20000.flac,5.2,4.6,4.8,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_63vOfpazUP8_410000_420000,/your_path/unbalanced_train_segments/audio/63vOfpazUP8_410000_420000.flac,5.5,4.3,4.4,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_64jEkG3d5Hg_70000_80000,/your_path/unbalanced_train_segments/audio/64jEkG3d5Hg_70000_80000.flac,5.9,4.1,5.5,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_6C6sAyndb_M_30000_40000,/your_path/unbalanced_train_segments/audio/6C6sAyndb_M_30000_40000.flac,6.0,4.4,5.1,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_6JamGXahalY_30000_40000,/your_path/unbalanced_train_segments/audio/6JamGXahalY_30000_40000.flac,4.0,2.5,2.7,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_6LKTbjlktm8_0_10000,/your_path/unbalanced_train_segments/audio/6LKTbjlktm8_0_10000.flac,6.1,4.8,3.3,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_6LXQMQ3Cs0o_30000_40000,/your_path/unbalanced_train_segments/audio/6LXQMQ3Cs0o_30000_40000.flac,6.4,3.7,3.8,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_6NHpvwOgz2g_360000_370000,/your_path/unbalanced_train_segments/audio/6NHpvwOgz2g_360000_370000.flac,5.6,4.2,2.9,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_6PONKDXwVOM_210000_220000,/your_path/unbalanced_train_segments/audio/6PONKDXwVOM_210000_220000.flac,5.7,3.4,3.5,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_6SmPN_9gsVY_40000_50000,/your_path/unbalanced_train_segments/audio/6SmPN_9gsVY_40000_50000.flac,6.5,3.5,3.7,5.6
